date,time,fix,quality,lat,long,speed(k),angle,elev,sats,pyron,weight

0/0/0,1:41:28,0,1,45.107868194, -123.279983520,0.00,0.00,62.30,9,1285.00,
10/7/18,1:41:29,1,1,45.107860565, -123.279983520,0.44,310.24,62.30,9,1207.00,
10/7/18,1:41:35,1,1,45.107875823, -123.280029296,3.29,277.92,62.30,9,1221.00,
10/7/18,1:41:41,1,1,45.107887268, -123.280303955,8.72,271.29,62.50,10,1221.00,
10/7/18,1:41:47,1,1,45.107894897, -123.280662536,9.45,272.35,62.50,10,1212.00,
10/7/18,1:41:53,1,1,45.107887268, -123.281036376,9.62,271.05,62.50,10,1216.00,
10/7/18,1:41:59,1,1,45.107875823, -123.281410217,9.70,270.24,62.50,10,1221.00,
10/7/18,1:42:5,1,1,45.107875823, -123.281784057,9.65,271.39,62.40,10,1197.00,
10/7/18,1:42:11,1,1,45.107868194, -123.282096862,6.35,249.36,62.40,10,1221.00,
10/7/18,1:42:17,1,1,45.107715606, -123.282142639,6.88,176.05,62.50,10,1197.00,
10/7/18,1:42:23,1,1,45.107494354, -123.282127380,7.17,183.45,62.10,10,1192.00,
10/7/18,1:42:29,1,1,45.107292175, -123.282127380,7.26,181.95,62.00,10,1206.00,
10/7/18,1:42:35,1,1,45.107078552, -123.282127380,7.18,180.87,61.80,10,1221.00,
10/7/18,1:42:41,1,1,45.106876373, -123.282127380,6.89,181.11,61.50,10,1197.00,
10/7/18,1:42:47,1,1,45.106712341, -123.282142639,5.60,182.14,61.10,10,1202.00,
10/7/18,1:42:53,1,1,45.106567382, -123.282142639,3.86,181.83,60.60,10,1212.00,
10/7/18,1:42:59,1,1,45.106517791, -123.282142639,0.55,193.80,60.40,10,1217.00,
10/7/18,1:43:5,1,1,45.106510162, -123.282142639,0.03,256.70,60.10,10,1202.00,
10/7/18,1:43:11,1,1,45.106510162, -123.282142639,0.22,22.92,60.10,10,1221.00,
10/7/18,1:43:17,1,1,45.106533050, -123.282142639,2.36,354.77,60.10,10,1226.00,
10/7/18,1:43:23,1,1,45.106582641, -123.282142639,1.27,17.23,59.50,10,1221.00,
10/7/18,1:43:29,1,1,45.106616973, -123.282142639,1.96,351.93,58.70,10,1221.00,
10/7/18,1:43:35,1,1,45.106681823, -123.282142639,2.01,5.04,58.40,10,1212.00,
10/7/18,1:43:41,1,1,45.106712341, -123.282127380,1.27,14.54,58.20,10,1197.00,
10/7/18,1:43:47,1,1,45.106689453, -123.282142639,3.00,169.86,57.90,10,1202.00,
10/7/18,1:43:53,1,1,45.106639862, -123.282127380,1.47,176.17,57.40,10,1221.00,
10/7/18,1:43:59,1,1,45.106647491, -123.282127380,1.66,352.48,57.30,10,1221.00,
10/7/18,1:44:5,1,1,45.106697082, -123.282127380,1.64,9.57,57.30,10,1226.00,
10/7/18,1:44:11,1,1,45.106704711, -123.282127380,1.69,192.11,57.10,10,1221.00,
10/7/18,1:44:17,1,1,45.106639862, -123.282127380,1.66,180.97,56.40,10,1221.00,
10/7/18,1:44:23,1,1,45.106552124, -123.282142639,4.21,185.39,55.90,10,1231.00,
10/7/18,1:44:29,1,1,45.106452941, -123.282112121,5.13,125.36,55.60,10,1221.00,
10/7/18,1:44:35,1,1,45.106460571, -123.281806945,11.19,90.36,55.30,10,1202.00,
10/7/18,1:44:41,1,1,45.106460571, -123.281280517,14.34,89.65,55.00,10,1212.00,
10/7/18,1:44:47,1,1,45.106468200, -123.280731201,14.03,91.33,54.50,10,1231.00,
10/7/18,1:44:53,1,1,45.106468200, -123.280158996,14.39,90.89,53.20,10,1217.00,
10/7/18,1:44:59,1,1,45.106468200, -123.279815673,4.42,91.03,52.90,10,1226.00,
10/7/18,1:45:5,1,1,45.106460571, -123.279769897,0.89,96.07,52.90,10,1221.00,
10/7/18,1:45:11,1,1,45.106452941, -123.279754638,1.25,96.07,52.90,10,1197.00,
10/7/18,1:45:17,1,1,45.106410980, -123.279739379,0.84,181.41,52.30,10,1212.00,
10/7/18,1:45:23,1,1,45.106410980, -123.279716491,0.03,181.41,52.20,10,1231.00,
10/7/18,1:45:29,1,1,45.106410980, -123.279716491,0.00,181.41,52.10,10,1197.00,
10/7/18,1:45:35,1,1,45.106410980, -123.279716491,0.38,181.41,52.10,10,1217.00,
10/7/18,1:45:41,1,1,45.106395721, -123.279701232,0.03,180.29,52.10,10,1216.00,
10/7/18,1:45:47,1,2,45.106395721, -123.279701232,0.03,180.29,52.40,10,1221.00,
10/7/18,1:45:53,1,2,45.106388092, -123.279701232,0.03,180.29,52.40,10,1246.00,
10/7/18,1:45:59,1,2,45.106365203, -123.279685974,1.85,172.55,52.10,10,1212.00,
10/7/18,1:46:5,1,2,45.106273651, -123.279716491,3.78,226.26,52.10,10,1221.00,
10/7/18,1:46:11,1,2,45.106266021, -123.279800415,0.19,267.68,52.60,9,1226.00,
10/7/18,1:46:17,1,2,45.106266021, -123.279815673,0.02,267.68,53.10,10,1197.00,
10/7/18,1:46:23,1,2,45.106258392, -123.279815673,0.60,269.62,53.30,10,1212.00,
10/7/18,1:46:29,1,2,45.106250762, -123.279853820,1.42,271.87,53.80,10,1217.00,
10/7/18,1:46:35,1,2,45.106258392, -123.279899597,1.86,268.94,54.10,9,1231.00,
