lat,long,delta_weight
45.106445312,-123.284832,-0.020310494869994762
45.106460571,-123.284732818,0.2290971860124675
45.106464385500004,-123.2846679685,0.1289406345252673
45.106464385500004,-123.2846031185,0.20747955627136316
45.106464385500004,-123.284530639,0.0465365954046657
45.1064682,-123.28445816,0.13160555303936242
45.106460571,-123.2840805045,0.2555320406200947
45.106460571,-123.284015655,0.33009395294697974
45.106460571,-123.28395080550001,0.08615551845059338
45.106460571,-123.28388595550001,0.31235994715724785
45.106460571,-123.28382110550001,0.04736490184111999
45.106456756,-123.28375625550001,0.219145373924995
45.106452941,-123.283683776,0.2028843474652869
45.106452941,-123.283611297,0.30557024236537805
45.106449126499996,-123.28354644749999,0.09853448560034374
45.106445312,-123.2834815975,0.29463074875614187
45.106445312,-123.283412933,0.19090752874227201
45.106445312,-123.28334808299999,0.30293783096025606
45.106445312,-123.28328323299999,0.18679103420705134
45.106449126499996,-123.2832183835,0.23313049098762806
45.106452941,-123.28315353350001,0.15756570403313122
45.106456756,-123.28308868350001,0.2885461733121995
45.106456756,-123.2830162045,0.16751041692365987
45.106452941,-123.28294372549999,0.058965405389816074
45.106452941,-123.28287887549999,0.3092624320236417
45.106449126499996,-123.28281402549999,-0.04865529801034606
45.106445312,-123.28274917549999,0.09326781094397803
45.1064414975,-123.282680511,0.08057063144344888
45.1064414975,-123.28261566149999,0.2736234919005181
45.106445312,-123.282543182,0.15069242968647228
45.1064414975,-123.2824707025,0.12953210532769724
45.106437683,-123.2824058525,0.18503577245484218
45.106437683,-123.2823410025,0.2195842351569406
45.106437683,-123.282276153,0.07658310131959176
45.106185913,-123.2822837825,0.33108001877685933
45.106185913,-123.2823410025,-1.9690593849613034
45.106193542,-123.2824707025,0.1342540489746342
45.106193542,-123.282527923,0.12634045246837755
45.106193542,-123.2825851435,0.22288556428198245
45.106193542,-123.282642364,0.20054123251616832
45.106193542,-123.2826995845,0.2419599099860468
45.106193542,-123.2831001275,0.2516331193406816
45.106197356500005,-123.2832031245,-0.17762323118794815
45.106201171,-123.283260345,0.6760864860004173
45.106201171,-123.28333282450001,-0.5532752768164116
45.106201171,-123.283412933,0.12206832804933879
45.106201171,-123.283496856,0.22575983440465708
45.106204986,-123.2835769645,0.20123615970552394
45.106204986,-123.283634185,-0.7070035530390968
45.106204986,-123.283840179,0.21359034536621122
45.106201171,-123.28394317600001,0.3568725033668628
45.106201171,-123.2840232845,-1.042921419815663
45.106201171,-123.2841072075,-0.10157437711336809
