lat,long,delta_weight
45.106437683,-123.28173828050001,15.059999999999945
45.106437683,-123.281673431,64.65000000000009
45.106437683,-123.281608581,12.579999999999927
45.106437683,-123.281543731,93.14000000000033
45.106437683,-123.28147888149999,4.419999999999618
45.106437683,-123.280727386,17.190000000000055
45.1064414975,-123.280639648,46.289999999999964
45.1064414975,-123.28055191,5.6400000000001
45.106422424,-123.280151367,50.049999999999955
45.106422424,-123.2800788875,37.149999999999864
45.106178283,-123.279994964,22.940000000000055
45.106178283,-123.28006362849999,30.090000000000146
45.106178283,-123.280136108,25.819999999999936
45.106178283,-123.280208587,9.995999999999867
45.106185913,-123.2805175775,27.37000000000012
45.106185913,-123.2806053155,35.00999999999999
45.106185913,-123.280696868,44.27999999999997
45.106185913,-123.2807960505,17.480000000000018
45.106185913,-123.2811622615,26.100000000000136
45.106201171,-123.28155899000001,15.61999999999989
45.106342315,-123.2818679805,73.98999999999978
45.106342315,-123.281787872,32.690000000000055
45.1063385,-123.2806320185,64.78999999999996
45.1063385,-123.280574798,44.87999999999988
45.1063346855,-123.28049850400001,98.30000000000018
45.106330871,-123.28041839549999,51.149999999999864
45.106330871,-123.2798881525,88.05999999999995
45.106201171500004,-123.27980804399999,210.01999999999998
45.106071472,-123.279819488,42.36000000000013
45.106071472,-123.2798995965,90.37200000000007
45.106067657,-123.27997970550001,32.759000000000015
45.106063842,-123.28004455550001,60.46900000000005
45.106063842,-123.2801322935,76.20999999999958
45.106063842,-123.2802314755,78.59000000000015
45.106063842,-123.28030776950001,67.09999999999991
45.106067657,-123.2803802485,65.19000000000005
45.106071472,-123.2804679865,68.84999999999991
45.106071472,-123.281459808,12.480000000000018
45.106071472,-123.2815361015,59.20999999999992
45.106071472,-123.28161621,38.58800000000008
45.106071472,-123.28168868949999,49.591999999999985
45.106071472,-123.2817649835,51.85000000000002
45.106067657,-123.2818374625,37.219999999999914
45.106063842,-123.2819023125,63.27999999999997
45.106063842,-123.281974792,58.340000000000146
45.105922698,-123.2817039485,77.02999999999997
45.105922698,-123.28161621,64.55000000000018
45.105922698,-123.28152847199999,79.07999999999993
45.105922698,-123.28143691950001,72.47000000000003
45.105922698,-123.281345367,68.30999999999995
45.105922698,-123.281257629,52.289999999999964
45.105918883499996,-123.2808189385,61.89000000000033
45.105918883499996,-123.2806968685,113.75999999999976
45.105915069,-123.28058242750001,61.039999999999964
45.105915069,-123.280509948,68.84000000000015
45.105915069,-123.28043746899999,46.590000000000146
45.105915069,-123.2803726195,64.70999999999958
45.105915069,-123.28030014000001,82.54000000000042
45.105915069,-123.28021621650001,53.13999999999987
45.1059112545,-123.2801437375,57.90000000000009
45.1059112545,-123.28007125799999,100.38999999999987
45.105915069,-123.279994964,41.13000000000011
45.105915069,-123.279922485,42.159999999999854
45.106121063,-123.280818939,48.67000000000007
45.106121063,-123.2808761595,40.139999999999986
