date,time,fix,quality,lat,long,speed(k),angle,elev,sats,pyron,weight
date,time,fix,quality,lat,long,speed(k),angle,elev,sats,pyron,weight

10/8/18,18:8:41,1,0,45.106273651, -123.281913757,1.78,105.62,0.00,0,1278.00,
10/8/18,18:8:42,1,0,45.106266021, -123.281898498,1.88,104.11,0.00,0,1176.00,
10/8/18,18:8:48,1,1,45.106243133, -123.281822204,1.78,105.00,61.10,9,1200.00,
10/8/18,18:8:55,1,1,45.106243133, -123.281707763,2.22,94.25,60.90,9,1176.00,
10/8/18,18:9:0,1,1,45.106250762, -123.281623840,2.26,89.32,60.90,9,1214.00,
10/8/18,18:9:6,1,1,45.106250762, -123.281539916,2.26,89.22,60.50,9,1205.00,
10/8/18,18:9:12,1,1,45.106250762, -123.281448364,2.39,89.71,60.30,9,1181.00,
10/8/18,18:9:18,1,1,45.106250762, -123.281364440,2.37,88.19,60.30,9,1205.00,
10/8/18,18:9:24,1,1,45.106250762, -123.281265258,2.19,92.53,60.20,9,1205.00,
10/8/18,18:9:30,1,1,45.106250762, -123.281181335,2.27,92.42,60.10,9,1186.00,
10/8/18,18:9:36,1,1,45.106243133, -123.281089782,2.31,90.89,60.20,9,1205.00,
10/8/18,18:9:42,1,1,45.106250762, -123.280990600,2.16,88.46,60.20,9,1201.00,
10/8/18,18:9:48,1,1,45.106250762, -123.280906677,2.08,91.49,60.00,9,1186.00,
10/8/18,18:9:54,1,1,45.106243133, -123.280830383,2.15,91.42,60.00,9,1201.00,
10/8/18,18:10:0,1,1,45.106243133, -123.280731201,2.12,93.74,60.50,9,1201.00,
10/8/18,18:10:6,1,1,45.106243133, -123.280647277,2.46,90.28,60.50,9,1205.00,
10/8/18,18:10:12,1,1,45.106243133, -123.280563354,2.33,90.67,60.50,9,1181.00,
10/8/18,18:10:18,1,1,45.106243133, -123.280471801,2.38,89.45,60.60,9,1201.00,
10/8/18,18:10:24,1,1,45.106243133, -123.280387878,2.27,90.04,60.50,9,1201.00,
10/8/18,18:10:30,1,1,45.106235504, -123.280288696,2.35,89.96,60.50,9,1181.00,
10/8/18,18:10:36,1,1,45.106235504, -123.280189514,2.27,90.01,60.50,9,1205.00,
10/8/18,18:10:42,1,1,45.106235504, -123.280113220,2.33,91.63,60.30,9,1205.00,
10/8/18,18:10:48,1,1,45.106235504, -123.280014038,2.32,90.36,60.30,9,1205.00,
10/8/18,18:10:54,1,1,45.106235504, -123.279914855,2.33,89.54,59.90,9,1205.00,
10/8/18,18:11:0,1,1,45.106235504, -123.279830932,2.29,89.52,59.70,9,1181.00,
10/8/18,18:11:6,1,1,45.106235504, -123.279754638,2.21,91.87,59.80,9,1138.00,
10/8/18,18:11:12,1,1,45.106235504, -123.279670715,0.13,80.47,59.60,9,1201.00,
10/8/18,18:11:18,1,1,45.106235504, -123.279670715,0.00,86.77,59.70,9,1181.00,
10/8/18,18:11:24,1,1,45.106235504, -123.279670715,0.06,332.00,59.70,9,1196.00,
10/8/18,18:11:31,1,1,45.106235504, -123.279685974,0.56,268.37,59.70,9,1195.00,
10/8/18,18:11:36,1,1,45.106235504, -123.279716491,0.45,84.64,59.60,9,1142.00,
10/8/18,18:11:42,1,1,45.106201171, -123.279655456,2.08,157.47,59.60,9,1205.00,
10/8/18,18:11:48,1,1,45.106143951, -123.279624938,2.04,173.78,59.10,9,1205.00,
10/8/18,18:11:54,1,1,45.106086730, -123.279624938,2.21,181.66,58.80,9,1205.00,
10/8/18,18:12:0,1,1,45.106021881, -123.279624938,2.17,181.32,57.90,9,1181.00,
10/8/18,18:12:6,1,1,45.105964660, -123.279640197,2.19,223.41,57.90,8,1138.00,
10/8/18,18:12:12,1,1,45.105957031, -123.279701232,1.60,283.97,58.00,9,1205.00,
10/8/18,18:12:18,1,1,45.105964660, -123.279716491,0.39,272.85,60.00,8,1181.00,
10/8/18,18:12:24,1,1,45.105957031, -123.279739379,0.01,218.66,59.80,9,1191.00,
10/8/18,18:12:31,1,1,45.105957031, -123.279739379,0.00,294.02,59.80,8,1211.00,
10/8/18,18:12:36,1,1,45.105957031, -123.279716491,0.02,32.52,59.90,8,1206.00,
10/8/18,18:12:42,1,1,45.105957031, -123.279716491,0.00,222.87,59.90,8,1143.00,
10/8/18,18:12:48,1,1,45.105957031, -123.279716491,0.01,235.17,59.90,8,1143.00,
10/8/18,18:12:54,1,1,45.105957031, -123.279716491,0.01,355.62,59.90,8,1143.00,
10/8/18,18:13:0,1,1,45.105957031, -123.279716491,0.01,36.72,59.90,8,1211.00,
10/8/18,18:13:6,1,1,45.105957031, -123.279716491,0.02,342.59,59.90,8,1148.00,
10/8/18,18:13:12,1,1,45.105957031, -123.279716491,0.01,205.54,59.90,8,1143.00,
10/8/18,18:13:18,1,1,45.105957031, -123.279716491,0.00,348.90,59.90,8,1148.00,
10/8/18,18:13:24,1,1,45.105957031, -123.279716491,0.01,30.32,59.90,8,1211.00,
10/8/18,18:13:30,1,1,45.105957031, -123.279716491,0.00,210.51,59.90,8,1211.00,
10/8/18,18:13:36,1,1,45.105957031, -123.279716491,0.01,351.37,59.90,8,1201.00,
10/8/18,18:13:42,1,1,45.105957031, -123.279716491,0.00,166.54,59.90,8,1142.00,
10/8/18,18:13:48,1,1,45.105957031, -123.279716491,0.01,351.03,59.90,8,1206.00,
10/8/18,18:13:55,1,1,45.105957031, -123.279716491,0.01,152.56,59.90,7,1206.00,
10/8/18,18:14:0,1,1,45.105957031, -123.279716491,0.00,28.87,59.90,7,1138.00,
10/8/18,18:14:6,1,2,45.105957031, -123.279739379,0.02,206.81,59.70,8,1206.00,
10/8/18,18:14:12,1,2,45.105957031, -123.279739379,0.00,0.00,59.40,8,1206.00,
10/8/18,18:14:19,1,2,45.105949401, -123.279739379,0.01,234.15,59.40,8,1205.00,
10/8/18,18:14:24,1,2,45.105949401, -123.279754638,0.02,274.88,59.30,8,1211.00,
10/8/18,18:14:30,1,2,45.105957031, -123.279754638,0.01,232.29,59.30,9,1148.00,
10/8/18,18:14:36,1,2,45.105957031, -123.279754638,0.02,356.31,59.30,8,1211.00,
10/8/18,18:14:42,1,2,45.105957031, -123.279754638,0.01,145.44,59.10,9,1211.00,
10/8/18,18:14:48,1,2,45.105957031, -123.279754638,0.02,27.25,58.80,9,1142.00,
10/8/18,18:14:55,1,2,45.105957031, -123.279754638,0.02,157.74,58.80,9,1205.00,
10/8/18,18:15:0,1,2,45.105957031, -123.279754638,0.02,26.73,58.80,9,1211.00,
10/8/18,18:15:6,1,2,45.105957031, -123.279754638,0.01,157.52,58.50,9,1211.00,
10/8/18,18:15:12,1,2,45.105957031, -123.279754638,0.01,331.40,58.40,9,1143.00,
10/8/18,18:15:19,1,2,45.105957031, -123.279754638,0.01,160.35,58.40,9,1211.00,
10/8/18,18:15:24,1,2,45.105957031, -123.279754638,0.01,352.56,58.30,9,1147.00,
10/8/18,18:15:30,1,2,45.105957031, -123.279754638,0.02,198.22,58.30,9,1138.00,
